goodreadsBookId,title,series,author,rating,description,language,isbn,genres,edition,pages,publisher,publishDate,firstPublishDate,awards,numRatings,ratingsByStars,coverImg
43448.Flowers_in_the_Attic,Flowers in the Attic,Dollanganger #1,V.C. Andrews,3.82,"Such wonderful children. Such a beautiful mother. Such a lovely house. Such endless terror!It wasn't that she didn't love her children. She did. But there was a fortune at stake—a fortune that would assure their later happiness if she could keep the children a secret from her dying father.So she and her mother hid her darlings away in an unused attic.Just for a little while.But the brutal days swelled into agonizing years. Now Cathy, Chris, and the twins wait in their cramped and helpless world, stirred by adult dreams, adult desires, served a meager sustenance by an angry, superstitious grandmother who knows that the Devil works in dark and devious ways. Sometimes he sends children to do his work—children who—one by one—must be destroyed....'Way upstairs there are four secrets hidden. Blond, beautiful, innocent struggling to stay alive....",English,9.78074E+12,"['Fiction', 'Horror', 'Young Adult', 'Mystery', 'Classics', 'Romance', 'Gothic', 'Thriller', 'Drama', 'Adult']",,389,Pocket Books,10/28/79,,['Books I Loved Best Yearly (BILBY) Awards for Secondary (1993)'],160654,"['52519', '51227', '38269', '12908', '5731']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327880853l/43448._SX318_SY475_.jpg
7354.The_Shipping_News,The Shipping News,,Annie Proulx,3.86,"When Quoyle's two-timing wife meets her just deserts, he retreats with his two daughters to his ancestral home on the starkly beautiful Newfoundland coast, where a rich cast of local characters and family members all play a part in Quoyle's struggle to reclaim his life. As Quoyle confronts his private demons--and the unpredictable forces of nature and society--he begins to see the possibility of love without pain or misery. A vigorous, darkly comic, and at times magical portrait of the contemporary North American family, The Shipping News shows why Annie Proulx is recognized as one of the most gifted and original writers in America today.",English,9.78074E+12,"['Fiction', 'Contemporary', 'Literature', 'Canada', 'Literary Fiction', 'Novels', 'Classics', 'American', 'Adult Fiction', 'Adult']",,337,Scribner Book Company,10/28/02,10/28/93,"['Pulitzer Prize for Fiction (1994)', 'National Book Award for Fiction (1993)', 'Irish Times International Fiction Prize (1993)', 'Chicago Tribune Heartland Prize for Fiction (1993)', 'National Book Critics Circle Award Nominee for Fiction (1993)']",130345,"['40325', '48173', '28913', '9210', '3724']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554192241l/7354._SY475_.jpg
8664353-unbroken,"Unbroken: A World War II Story of Survival, Resilience and Redemption",,Laura Hillenbrand,4.36,"
  In her long-awaited new book, Laura Hillenbrand writes with the same rich and vivid narrative voice she displayed in Seabiscuit. Telling an unforgettable story of a man's journey into extremity, Unbroken is a testament to the resilience of the human mind, body, and spirit.
On a May afternoon in 1943, an Army Air Forces bomber crashed into the Pacific Ocean and disappeared, leaving only a spray of debris and a slick of oil, gasoline, and blood. Then, on the ocean surface, a face appeared. It was that of a young lieutenant, the plane's bombardier, who was struggling to a life raft and pulling himself aboard. So began one of the most extraordinary odysseys of the Second World War.The lieutenant’s name was Louis Zamperini. In boyhood, he'd been a cunning and incorrigible delinquent, breaking into houses, brawling, and fleeing his home to ride the rails. As a teenager, he had channeled his defiance into running, discovering a prodigious talent that had carried him to the Berlin Olympics and within sight of the four-minute mile. But when war had come, the athlete had become an airman, embarking on a journey that led to his doomed flight, a tiny raft, and a drift into the unknown.Ahead of Zamperini lay thousands of miles of open ocean, leaping sharks, a foundering raft, thirst and starvation, enemy aircraft, and, beyond, a trial even greater. Driven to the limits of endurance, Zamperini would answer desperation with ingenuity; suffering with hope, resolve, and humor; brutality with rebellion. His fate, whether triumph or tragedy, would be suspended on the fraying wire of his will.",English,9.7814E+12,"['Nonfiction', 'History', 'Biography', 'World War II', 'War', 'Historical', 'Audiobook', 'Military Fiction', 'Memoir', 'Biography Memoir']",,492,Random House,11/16/10,,"['Los Angeles Times Book Prize for Biography (2010)', ""Pennsylvania Young Readers' Choice Award Nominee for Young Adults (2014)"", 'Indies Choice Book Award for Nonfiction (2011)', 'Dayton Literary Peace Prize Nominee for NonFiction (2011)', 'Lincoln Award Nominee (2015)', 'Andrew Carnegie Medal Nominee for Nonfiction (2012)', 'Goodreads Choice Award Nominee for History and Biography (2010)']",767063,"['452057', '202821', '71163', '21654', '19368']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327861115l/8664353.jpg
136116.The_Scarlet_Pimpernel,The Scarlet Pimpernel,The Scarlet Pimpernel (publication order) #1,Emmuska Orczy,4.06,"Armed with only his wits and his cunning, one man recklessly defies the French revolutionaries and rescues scores of innocent men, women, and children from the deadly guillotine. His friends and foes know him only as the Scarlet Pimpernel. But the ruthless French agent Chauvelin is sworn to discover his identity and to hunt him down.",English,9.78158E+12,"['Classics', 'Historical Fiction', 'Fiction', 'Adventure', 'Romance', 'Historical', 'Mystery', 'Literature', 'France', 'French Revolution']",,182,Quiet Vision Pub,02/28/05,10/28/05,[],124259,"['48639', '43976', '23913', '5533', '2198']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1406764899l/136116.jpg
15717943-hopeless,Hopeless,Hopeless #1,Colleen Hoover (Goodreads Author),4.29,"Sometimes discovering the truth can leave you more hopeless than believing the lies…That’s what seventeen-year-old Sky realizes after she meets Dean Holder. A guy with a reputation that rivals her own and an uncanny ability to invoke feelings in her she’s never had before. He terrifies her and captivates her all in the span of just one encounter, and something about the way he makes her feel sparks buried memories from a past that she wishes could just stay buried.Sky struggles to keep him at a distance knowing he’s nothing but trouble, but Holder insists on learning everything about her. After finally caving to his unwavering pursuit, Sky soon finds that Holder isn’t at all who he’s been claiming to be. When the secrets he’s been keeping are finally revealed, every single facet of Sky’s life will change forever.",English,9.7813E+12,"['Romance', 'New Adult', 'Young Adult', 'Contemporary', 'Contemporary Romance', 'Fiction', 'Abuse', 'High School', 'Chick Lit', 'Drama']",,410,,12/19/12,12/17/12,[],268053,"['146249', '74192', '32088', '9880', '5644']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353489892l/15717943.jpg
14201.Jonathan_Strange_Mr_Norrell,Jonathan Strange & Mr Norrell,,Susanna Clarke,3.82,"Librarian note: Alternate cover edition of 9780765356154.Sophisticated, witty, and ingeniously convincing, Susanna Clarke's magisterial novel weaves magic into a flawlessly detailed vision of historical England. She has created a world so thoroughly enchanting that eight hundred pages leave readers longing for more.English magicians were once the wonder of the known world, with fairy servants at their beck and call; they could command winds, mountains, and woods. But by the early 1800s they have long since lost the ability to perform magic. They can only write long, dull papers about it, while fairy servants are nothing but a fading memory.But at Hurtfew Abbey in Yorkshire, the rich, reclusive Mr Norrell has assembled a wonderful library of lost and forgotten books from England's magical past and regained some of the powers of England's magicians. He goes to London and raises a beautiful young woman from the dead. Soon he is lending his help to the government in the war against Napoleon Bonaparte, creating ghostly fleets of rain-ships to confuse and alarm the French.All goes well until a rival magician appears. Jonathan Strange is handsome, charming, and talkative-the very opposite of Mr Norrell. Strange thinks nothing of enduring the rigors of campaigning with Wellington's army and doing magic on battlefields. Astonished to find another practicing magician, Mr Norrell accepts Strange as a pupil. But it soon becomes clear that their ideas of what English magic ought to be are very different. For Mr Norrell, their power is something to be cautiously controlled, while Jonathan Strange will always be attracted to the wildest, most perilous forms of magic. He becomes fascinated by the ancient, shadowy figure of the Raven King, a child taken by fairies who became king of both England and Faerie, and the most legendary magician of all. Eventually Strange's heedless pursuit of long-forgotten magic threatens to destroy not only his partnership with Norrell, but everything that he holds dear.",English,1E+13,"['Fantasy', 'Fiction', 'Historical Fiction', 'Historical', 'Magic', 'Science Fiction Fantasy', 'Alternate History', 'Audiobook', 'Adult', 'Magical Realism']",First Tor Edition,1006,Tor Books,08/01/2006,09/08/2004,"['Hugo Award for Best Novel (2005)', 'Booker Prize Nominee for Longlist (2004)', 'Nebula Award Nominee for Best Novel (2005)', 'Locus Award for Best First Novel and Nominee for Best Fantasy Novel (2005)', 'Guardian First Book Award Nominee (2004)', 'World Fantasy Award for Best Novel (2005)', 'Mythopoeic Fantasy Award for Adult Literature (2005)', 'Book Sense Book of the Year Award for Adult Fiction (2005)', 'British Fantasy Award Nominee for Best Novel (2005)', 'Cena Akademie SFFH for Kniha roku (Book of the Year) (2007)']",198407,"['69345', '62077', '39162', '17558', '10265']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1357027589l/14201._SY475_.jpg
187181.The_Chosen,The Chosen,Reuven Malther #1,Chaim Potok,4.04,"It is the now-classic story of two fathers and two sons and the pressures on all of them to pursue the religion they share in the way that is best suited to each. And as the boys grow into young men, they discover in the other a lost spiritual brother, and a link to an unexplored world that neither had ever considered before. In effect, they exchange places, and find the peace that neither will ever retreat from again. . . .",English,9.78045E+12,"['Fiction', 'Classics', 'Historical Fiction', 'Young Adult', 'Jewish', 'Religion', 'School', 'Literature', 'Judaism', 'Novels']",,304,Fawcett Books,04/12/1987,10/28/66,"['Edward Lewis Wallant Award (1967)', 'National Book Award Finalist for Fiction (1968)']",85850,"['32558', '31915', '15605', '4069', '1703']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403191327l/187181.jpg
285092.High_Fidelity,High Fidelity,,Nick Hornby,3.93,"Do you know your desert-island, all-time, top five most memorable split-ups?Rob does. He keeps a list, in fact. But Laura isn't on it - even though she's just become his latest ex. He's got his life back, you see. He can just do what he wants when he wants: like listen to whatever music he likes, look up the girls that are on his list, and generally behaves as if Laura never mattered. But Rob finds he can't move on. He's stuck in a really deep groove - and it's called Laura. Soon, he's asking himself some big questions: about love, about life - and about why we choose to share ours with the people we do.",English,9.78157E+12,"['Fiction', 'Music', 'Contemporary', 'Humor', 'Romance', 'Novels', 'British Literature', 'Literature', 'Comedy', 'Adult Fiction']",,340,Riverhead Books,05/05/1996,10/28/95,[],173566,"['51012', '72519', '39712', '8314', '2009']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327928082l/285092._SY475_.jpg
394535.Blood_Meridian_or_the_Evening_Redness_in_the_West,"Blood Meridian, or the Evening Redness in the West",,Cormac McCarthy,4.17,"Blood Meridian is an epic novel of the violence and depravity that attended America's westward expansion, brilliantly subverting the conventions of the Western novel and the mythology of the Wild West. Based on historical events that took place on the Texas-Mexico border in the 1850s, it traces the fortunes of the Kid, a fourteen-year-old Tennesseean who stumbles into a nightmarish world where Indians are being murdered and the market for their scalps is thriving.",English,1E+13,"['Fiction', 'Historical Fiction', 'Westerns', 'Classics', 'Literature', 'Novels', 'American', 'Horror', 'Historical', 'Literary Fiction']",First Vintage International Edition,351,Vintage Books,05/28/92,04/28/85,[],107497,"['53404', '30115', '15071', '6216', '2691']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1453995760l/394535._SY475_.jpg
18143977-all-the-light-we-cannot-see,All the Light We Cannot See,,Anthony Doerr (Goodreads Author),4.33,"An alternate cover for this ISBN can be found hereFrom the highly acclaimed, multiple award-winning Anthony Doerr, the stunningly beautiful instant New York Times bestseller about a blind French girl and a German boy whose paths collide in occupied France as both try to survive the devastation of World War II.Marie-Laure lives in Paris near the Museum of Natural History, where her father works. When she is twelve, the Nazis occupy Paris and father and daughter flee to the walled citadel of Saint-Malo, where Marie-Laure’s reclusive great uncle lives in a tall house by the sea. With them they carry what might be the museum’s most valuable and dangerous jewel.In a mining town in Germany, Werner Pfennig, an orphan, grows up with his younger sister, enchanted by a crude radio they find that brings them news and stories from places they have never seen or imagined. Werner becomes an expert at building and fixing these crucial new instruments and is enlisted to use his talent to track down the resistance. Deftly interweaving the lives of Marie-Laure and Werner, Doerr illuminates the ways, against all odds, people try to be good to one another.",English,9.78148E+12,"['Historical Fiction', 'Fiction', 'Historical', 'War', 'World War II', 'Adult', 'Audiobook', 'France', 'Book Club', 'Adult Fiction']",First Scribner hardcover edition May 2014,531,Scribner,05/06/2014,05/28/14,"['Pulitzer Prize for Fiction (2015)', 'Audie Award for Fiction (2015)', 'ALA Alex Award (2015)', 'Dayton Literary Peace Prize Nominee for Fiction (2015)', 'Ohioana Book Award for Fiction (2015)', 'Australian Book Industry Award (ABIA) for International Book (2015)', 'Andrew Carnegie Medal for Fiction (2015)', 'Idaho Book of the Year Award (2014)', 'National Book Award Finalist for Fiction (2014)', 'Goodreads Choice Award for Historical Fiction (2014) and Nominee for Best of the Best  (2018)', 'International Dublin Literary Award Nominee (2016)']",1024442,"['541185', '329482', '113565', '27961', '12249']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451445646l/18143977.jpg
